created_at_timestamp,lang,sha1_id_status,sha1_id_user,statuses_count,favourites_count,followers_count,created_at,friends_count
2022-05-19 20:44:37.000000 UTC,it,+5L9i8S9LChJOepnSw1KnXQEkus=,luXCPoMBMO/lDpKUtoHxdD4/eZI=,291474,282238,7706,Mon Jun 25 18:01:56 +0000 2018,5103
2022-05-19 20:44:42.000000 UTC,it,QtMvHY7ZCq4/FtgaUf+YAPwXa44=,mrBz+Rstq4GiXkYYxzIumwkmOM0=,1957630,0,1265,Wed Jun 15 11:56:42 +0000 2011,0
2022-05-19 20:44:42.000000 UTC,it,aplWtPGrSlFbzLs0D4NrznHV3Yg=,MHmNHpP9SPjCdUfW5sw5iN8ZGEY=,5626,9,288,Wed Jan 09 16:44:59 +0000 2013,189
2022-05-19 20:44:42.000000 UTC,it,ZvnvYDbT6M3gIKY3SGrE0lZQi8s=,ktMKPAqW714B638rlt99BBfciAY=,3511296,1,4442,Wed Jun 15 09:00:41 +0000 2011,5
2022-05-19 20:44:42.000000 UTC,it,jC/wvZObKQO6IBPPRhz1ttdL3lU=,ktMKPAqW714B638rlt99BBfciAY=,3511297,1,4442,Wed Jun 15 09:00:41 +0000 2011,5
2022-05-19 20:44:43.000000 UTC,it,iuc0mQWW1+YMdihgbtufvq7OsSQ=,h2hekbbypdatePrcEQ1UyVl49Jg=,72451,48001,3670,Fri Dec 06 23:04:09 +0000 2019,3845
2022-05-19 20:44:43.000000 UTC,it,wdR/AIPVsT4LY0SgH50FkDrIsrI=,+ofSeTWDijNdlU+gxeGDzbs/7Ug=,50355,10525,186965,Sat Nov 07 09:03:40 +0000 2009,593
2022-05-19 20:44:43.000000 UTC,it,wuoC6Bao0OGQj5xTovUqcJyHBkg=,ktMKPAqW714B638rlt99BBfciAY=,3511299,1,4442,Wed Jun 15 09:00:41 +0000 2011,5
2022-05-19 20:44:43.000000 UTC,it,XJ/379t2WiY9UBzei0U7OnBWwEg=,ktMKPAqW714B638rlt99BBfciAY=,3511300,1,4442,Wed Jun 15 09:00:41 +0000 2011,5
2022-05-19 20:44:43.000000 UTC,it,D+OpRl1k3+2YmGKX4lXzLlYCh00=,ktMKPAqW714B638rlt99BBfciAY=,3511300,1,4442,Wed Jun 15 09:00:41 +0000 2011,5
2022-05-19 20:44:43.000000 UTC,it,HZiZUF4U2y8sf5EIyD99hYZMZdg=,YCQbWf7pXVTMuZTY6RlPC/CDd0E=,1275506,0,607,Wed Jun 15 10:22:24 +0000 2011,0
2022-05-19 20:44:43.000000 UTC,it,RHez/Sx+oDrljFzN9n6Y4uMk1us=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934293,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:44.000000 UTC,it,99ufaQaRIgW/+Lq9tvwLtMZXHEg=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934294,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:44.000000 UTC,it,qiFejmVdrQ0WkkFDC26cx92wIuE=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934295,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:44.000000 UTC,it,ioeh7RcXpRu93exJQois+mA6GTU=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934295,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:44.000000 UTC,it,vaWghSLwy3LlkiOgEEL5Yw+drnw=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934297,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:44.000000 UTC,it,rig7egoiYGaRUFbnR0ZjxunKG30=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934296,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:44.000000 UTC,it,ywGKWGO6zdd9pv4YVT8y6p1fjGI=,/8ntC7uvz8zIsXdwU+TPyvmYDXI=,574570,42,284,Sun Jan 06 04:31:28 +0000 2019,11
2022-05-19 20:44:44.000000 UTC,it,69GD2tTaqUi2t3PuGRoUGaRSIdU=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934298,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:44.000000 UTC,it,vDo7KNMFfCS/CxrtqK+7sjw3od0=,eSnmWBfEOpnYzWdynXV+nr78cns=,84383,49965,1103,Mon May 28 09:49:15 +0000 2018,1245
2022-05-19 20:44:45.000000 UTC,it,Rl1smnWm8wDjzbY9Hj+wmAAKTu0=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934299,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:45.000000 UTC,it,2Lz1wFVoUBXUXYNgK7b+HD2pFGw=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934300,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:45.000000 UTC,it,OkKPi1sNjSY+ID/iQpVmSs05kN0=,cLB7O2sO98BEhemhqd3u0Nl13O8=,268651,66774,14596,Mon Jan 28 16:16:35 +0000 2008,9892
2022-05-19 20:44:45.000000 UTC,it,MSpjie8p+nVDBxGJG5/o9qh3fnA=,UDnssKtbgkUHujInL+/PXBGL8D8=,95698,1895,578200,Tue Mar 09 13:10:42 +0000 2010,201
2022-05-19 20:44:45.000000 UTC,it,zMJBeyp105tnBYPO2YAnq6ooO84=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934301,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:45.000000 UTC,it,E9ypwZFNm8WRAkuwNsUPOR9YyGc=,mYXexkd+pYuRW6Q+uDrVaHGqjQw=,3934303,0,642,Wed Jun 15 12:16:44 +0000 2011,0
2022-05-19 20:44:47.000000 UTC,it,tPASAzdOREGsAxer77wYpmRsRRQ=,v1/JiRtCmi4p2OCyHdiVVcXacDg=,64092,45701,1024,Tue Feb 25 09:41:53 +0000 2014,1669
2022-05-19 20:44:48.000000 UTC,it,D8DIBGS515KA6l7TD1XX8aWcxwE=,nuleU/hIh3v08jA9iVtm4EsDJVA=,9783,1,34,Mon Jan 26 14:16:42 +0000 2015,48
2022-05-19 20:44:48.000000 UTC,it,jmXs1Gshiq5r2z7dJEKGEwGfonY=,/17dXrzaXGk5m2wnLQjcbWtcw8c=,63073,22059,3260,Wed Feb 19 16:05:06 +0000 2014,83
2022-05-19 20:44:50.000000 UTC,it,03mgwis11GZKDD9grFhw64UjSVE=,kJH1x1Iqa+9kuyqYnglx2iYWL04=,38,0,3,Mon Jan 18 06:00:01 +0000 2021,1
2022-05-19 20:44:53.000000 UTC,it,To9x2QFAEBRHaA7E/vYcD1Yzhrs=,h2hekbbypdatePrcEQ1UyVl49Jg=,72451,48001,3669,Fri Dec 06 23:04:09 +0000 2019,3847
2022-05-19 20:44:54.000000 UTC,it,ugeUcIFdCDFTp9v4vlzWZN/rfak=,6qVkRFd/6+rt2lpoj+7UKsG8bpw=,9245,6340,129,Wed Aug 21 13:39:34 +0000 2019,385
2022-05-19 20:44:58.000000 UTC,it,zGbKFLJOiCRVocHE8yz36jBh0VE=,D4KZiUnQIhoI+kjLMtO2uT0F/qU=,44597,33243,37630,Tue May 25 15:18:35 +0000 2010,2448
2022-05-19 20:45:00.000000 UTC,it,gGjworVb9ugWeuU6kjhnX8MtvoM=,xV3wiDeSEk/aCbKT/KxIeVGUkzM=,245728,79556,6350,Sun Nov 13 21:44:56 +0000 2011,871
2022-05-19 20:45:06.000000 UTC,it,D4qvODkV2mbC3H542KcsryOHku8=,+zrLIz9h99L54PNIRd4RqBAs44U=,227216,82268,1264,Wed Aug 19 08:48:36 +0000 2015,280
2022-05-19 20:45:08.000000 UTC,it,9vTHYmNT7PDUE0s4B1G31g6NTbo=,NPWqV41vQ6KYOFnlLxmTMQ6uxGQ=,126218,986,61148,Fri Jun 19 21:29:09 +0000 2009,1569
2022-05-19 20:45:08.000000 UTC,it,ltcPnh8cpnI6JYteH4ohiAIV004=,7CZOtZbihIOocYoCOOPpXnsdQfA=,96290,22632,1342,Fri May 11 13:40:47 +0000 2012,1258
2022-05-19 20:45:14.000000 UTC,it,P9Z7ImU4rAYBHnXA1uuZbrigo90=,KGimxyWoU+sFLH35WQQdp8+WZvo=,36868,20951,287,Tue Apr 22 16:21:24 +0000 2014,97
2022-05-19 20:45:15.000000 UTC,it,hhJwdjTwKYwab20Lv78rv1+N2h8=,IiTufcp5HtmqJaXhC01ZyqJv1eY=,1758951,16739,1623,Wed Oct 14 12:47:43 +0000 2009,2867
2022-05-19 20:45:16.000000 UTC,it,9iLWiQseq6kreWRvdPm7MuxAXpA=,2tNVE6434RYHrU5EZyY1pD+smdI=,30098,39468,717,Thu Feb 23 11:51:29 +0000 2012,600
2022-05-19 20:45:25.000000 UTC,it,c+vZ9WdKLQrbbshUBEjCP8jsKL4=,CCXQAyvw9LwB+uJ2YZ0sAbj4koI=,17285,12637,2047,Sun May 05 10:05:54 +0000 2013,450
2022-05-19 20:45:26.000000 UTC,it,2jwZ6RMAd2hM6g4GS/yJN2omqJQ=,h2hekbbypdatePrcEQ1UyVl49Jg=,72455,48001,3670,Fri Dec 06 23:04:09 +0000 2019,3845
2022-05-19 20:45:27.000000 UTC,it,3ykE4ToKGNVBSX4ynVSsBdes2VY=,GYngJXiUgxhSJfxL7i0eqrS+j5U=,172764,45780,4304,Tue Dec 15 08:56:25 +0000 2009,192
2022-05-19 20:45:29.000000 UTC,it,dd7JCVlo5WfspaswbN3fkkTNVWc=,Yjigc434u9Iuog0xLxZ5eoNdX0I=,23804,30004,1414,Sat Aug 22 10:18:06 +0000 2020,1692
2022-05-19 20:45:29.000000 UTC,it,MBVwquK3usC887CXHCjWq8Ur0ys=,luXCPoMBMO/lDpKUtoHxdD4/eZI=,291475,282238,7706,Mon Jun 25 18:01:56 +0000 2018,5103
2022-05-19 20:45:29.000000 UTC,it,MJuLWV9JhHPOK1izTJEVLQvh674=,bWEbrw7gOsgYfJlRllREfGJbjEQ=,11531,2238,123,Sun Oct 10 16:12:04 +0000 2021,405
2022-05-19 20:45:29.000000 UTC,it,qQ6iJsQ2T1GuxwEq687erkOS+NU=,1SrrPUx4pZLXI0FTmVGCj0YWN4o=,286150,31720,3352,Thu Sep 30 15:07:03 +0000 2010,2723
2022-05-19 20:45:29.000000 UTC,it,dS+O8SJb+NbJg+bRM1xKjtA5pkc=,ET+uTthwwH614QuaMiuApLouyJE=,23164,9829,15302,Wed Jul 29 10:17:46 +0000 2015,14351
2022-05-19 20:45:30.000000 UTC,it,NFF8BlP6EspfRfnTrlOUZZYsBl0=,ROLzxi7z3HpmOb6Kk7Mh1sxch3I=,98852,452696,5596,Thu Jul 22 10:25:41 +0000 2010,4153
2022-05-19 20:45:38.000000 UTC,it,o6kdVzIJBfQGl4YTce7sxntZJlA=,QOv0BhbT7e90nH6atQj0//VDJ/I=,38678,37172,440,Thu Aug 15 02:57:59 +0000 2019,330
2022-05-19 20:45:38.000000 UTC,it,a/BOcxKG1WDSzs51ItDrZfSqpcs=,VIvTd2Q+tKNODzfe9VzRLVUDfMc=,144397,49,32978,Wed Sep 17 13:55:43 +0000 2008,2901
2022-05-19 20:45:41.000000 UTC,it,4G3suGXPhT/EpQ4E/ZBa0p89X/E=,jxiO8U4Y6M194H9M8/h6CDWVTs8=,27957,21626,1978,Sat Feb 23 22:14:05 +0000 2013,2794
2022-05-19 20:45:47.000000 UTC,it,A8NdXcbFgxKuwzYZOSrnVTvzxw4=,8A/jpy7czJMTPXUVTZRCutmFsKk=,17484,34048,299,Sun Jul 05 08:55:24 +0000 2009,3084
2022-05-19 20:45:48.000000 UTC,it,C9JmaiUQFHDsYTYDM12gwq5+MhM=,Yjigc434u9Iuog0xLxZ5eoNdX0I=,23805,30004,1414,Sat Aug 22 10:18:06 +0000 2020,1692
